DCLR_RCPT_NO,DCLR_DT,DCLR_YMD,DCLR_TM,DCLR_YR,DCLR_MM,DCLR_DAY,DCLR_HR,DCLR_MN,DCLR_DOW,SEASN_NM,QTR_NO,CTPV_NM,SGG_NM,EMD_NM,CTY_FRMVL_SE_NM,EMD_SE_NM,RCPT_END_DT,RCPT_END_YMD,RCPT_END_TM,OTR_CTPV_DCLR_YN,DCLR_PSTN_LOT,DCLR_PSTN_LAT,DSPT_DRTV_DT,GRNDS_ARVL_DT,HSPTL_ARVL_DT,CBK_DT,SITTN_END_DT,FRSTN_NM,CNTR_NM,CLMTY_CTPV_NM,CLMTY_SGG_NM,CLMTY_EMD_NM,LOT,LAT
XO1141414661,20230105180525,20230105,180525,2023,1,5,18,5,목요일,겨울,1,서울특별시,,,,,20230105180603,20230105,180603,N,126.9064,37.5169,20230105180603,20230105180852,,20230105181530,20230105183439,영등포소방서,영등포119안전센터,서울특별시,영등포구,영등포동3가,126.9076863969,37.5169248361
XO1141414728,20230105181356,20230105,181356,2023,1,5,18,13,목요일,겨울,1,서울특별시,,,,,20230105181547,20230105,181547,N,126.9064,37.5169,20230105180603,20230105180852,,20230105181530,20230105183439,영등포소방서,영등포119안전센터,서울특별시,영등포구,영등포동3가,126.9076863969,37.5169248361
XO5004525209,20230105172417,20230105,172417,2023,1,5,17,24,목요일,겨울,1,제주특별자치도,제주시,애월읍,농촌,읍,20230105172549,20230105,172549,N,126.4232,33.4278,,20230105174220,,20230105183347,20230105183438,서부소방서,애월센터,제주특별자치도,제주시,애월읍,126.4232100004,33.4278219996
XO4354759298,20230105181223,20230105,181223,2023,1,5,18,12,목요일,겨울,1,충청북도,,,,,20230105181311,20230105,181311,N,0,0,,,,20230105182639,20230105183438,단양소방서,단양119안전센터,충청북도,단양군,단양읍,128.3563218545,36.9891186527
XO4136457891,20230105235449,20230105,235449,2023,1,5,23,54,목요일,겨울,1,경기도,의정부시,신곡동,도시,동,20230105235536,20230105,235536,N,127.0816,37.7523,,20230105235923,20230106002639,20230106003135,20230106012915,의정부소방서,금오119안전센터,경기도,의정부시,신곡동,127.0776385627,37.7572878338
XO4136457901,20230106000216,20230106,216,2023,1,6,0,2,금요일,겨울,1,경기도,의정부시,신곡동,도시,동,20230106000304,20230106,304,N,127.0777,37.7572,,20230105235923,20230106002639,20230106003135,20230106012915,의정부소방서,금오119안전센터,경기도,의정부시,신곡동,127.0776385627,37.7572878338
XO4115323495,20230106004344,20230106,4344,2023,1,6,0,43,금요일,겨울,1,경기도,평택시,안중읍,농촌,읍,20230106004509,20230106,4509,N,0,0,,20230106010013,,20230106012139,20230106012923,평택소방서,안중119안전센터,경기도,평택시,안중읍,126.9272823799,36.9884064161
XO4208253952,20230105123340,20230105,123340,2023,1,5,12,33,목요일,겨울,1,강원도,원주시,우산동,도시,동,20230105123438,20230105,123438,N,127.9293,37.3318,,,,20230105143954,20230105151012,원주소방서,흥업119안전센터,강원도,원주시,무실동,127.9291614349,37.3333541449
XO4208253972,20230105124735,20230105,124735,2023,1,5,12,47,목요일,겨울,1,강원도,원주시,우산동,도시,동,20230105124829,20230105,124829,N,127.9298,37.338,,,,20230105143954,20230105151012,원주소방서,흥업119안전센터,강원도,원주시,무실동,127.9291614349,37.3333541449
XO3103704318,20230105142141,20230105,142141,2023,1,5,14,21,목요일,겨울,1,울산광역시,동구,전하동,도시,동,20230105142322,20230105,142322,N,129.4247,35.5135,,,20230105145350,20230105150850,20230105151012,동부소방서,전하119안전센터,울산광역시,동구,전하동,129.4244330906,35.5122672028
