시설명,시설유형,소재지도로명주소,소재지지번주소,위도,경도,영업상태명,전화번호,건립일자,건물면적,관리기관명,데이터기준일자,제공기관코드,제공기관명
하북2리마을회관,마을회관,경기도 평택시 진위면 하북2길 48,,37.100509,127.050073,영업,,2013-02-14,,경기도 평택시청,2026-03-15,3910000,경기도 평택시
하북3리마을회관,마을회관,경기도 평택시 진위면 하북3길 6,,37.10451,127.056863,영업,,1996-10-05,,경기도 평택시청,2026-03-15,3910000,경기도 평택시
하북4리마을회관,마을회관,경기도 평택시 진위면 하북4길 56,,37.11241,127.067995,영업,,2009-11-06,,경기도 평택시청,2026-03-15,3910000,경기도 평택시
가곡5리마을회관,마을회관,경기도 평택시 진위면 가곡5길 112-3,,37.115977,127.072351,영업,,1995-08-30,,경기도 평택시청,2026-03-15,3910000,경기도 평택시
견산1리마을회관,마을회관,경기도 평택시 진위면 견산1길 21-1,,37.10844,127.07422,영업,,2013-02-26,,경기도 평택시청,2026-03-15,3910000,경기도 평택시
견산2리마을회관,마을회관,경기도 평택시 진위면 견산2길 16,,37.106836,127.080011,영업,,2007-01-10,,경기도 평택시청,2026-03-15,3910000,경기도 평택시
하북1리마을회관,마을회관,경기도 평택시 진위면 하북1길 17-2,,37.110808,127.063593,영업,,2016-02-23,,경기도 평택시청,2026-03-15,3910000,경기도 평택시
수촌경로당(휴지),경로당,경기도 평택시 수촌길 49,,37.020526,127.113114,휴업,,1974-01-01,50.49,경기도 평택시청,2026-03-15,3910000,경기도 평택시
지제더샵2블럭경로당,경로당,"경기도 평택시 지제동삭2로 177(동삭동, The sharp 지제역 센트럴파크 2BL)",,37.02063576,127.092978,영업,,2020-08-13,251.5,경기도 평택시청,2026-03-15,3910000,경기도 평택시
평택센트럴자이5단지(아)(휴지)경로당,경로당,경기도 평택시 상서재로 80 (동삭동),,37.020457,127.103316,휴업,031-692-4152,2018-08-31,94.12,경기도 평택시청,2026-03-15,3910000,경기도 평택시
평택센트럴자이4단지(아)경로당,경로당,경기도 평택시 상서재로 50 (평택센트럴자이4단지),,37.018524,127.101495,영업,,2018-08-31,94.12,경기도 평택시청,2026-03-15,3910000,경기도 평택시
센트럴사랑방경로당,경로당,경기도 평택시 상서재로 55(동삭동),,37.020566,127.097685,영업,,2019-01-25,143.1,경기도 평택시청,2026-03-15,3910000,경기도 평택시
자이사랑방(센트럴3단지)경로당,경로당,경기도 평택시 상서재로 55(동삭동),,37.020566,127.097685,영업,,2019-01-25,143.1,경기도 평택시청,2026-03-15,3910000,경기도 평택시
평택센트럴자이2단지경로당,경로당,"경기도 평택시 상서재로4길 13, 209동 (동삭동)",,37.016185,127.10238,영업,,2017-12-15,96.1,경기도 평택시청,2026-03-15,3910000,경기도 평택시
한일아파트경로당,경로당,경기도 평택시 진위면 엘지로 55,,37.125792,127.070262,영업,031-375-2705,1996-06-14,52.89,경기도 평택시청,2026-03-15,3910000,경기도 평택시
한승아파트경로당,경로당,경기도 평택시 진위면 동부대로 41,,37.108284,127.079697,영업,,2000-09-30,49.59,경기도 평택시청,2026-03-15,3910000,경기도 평택시
하북4리경로당,경로당,경기도 평택시 진위면 하북4길 56,,37.11241,127.067995,영업,031-667-8750,2009-11-06,33.06,경기도 평택시청,2026-03-15,3910000,경기도 평택시
하북3리경로당,경로당,경기도 평택시 진위면 하북3길 6,,37.10451,127.056864,영업,031-667-6169,1996-10-05,42.98,경기도 평택시청,2026-03-15,3910000,경기도 평택시
하북2리경로당,경로당,경기도 평택시 진위면 하북2길 48,,37.100509,127.050073,영업,031-668-2535,1992-08-06,70,경기도 평택시청,2026-03-15,3910000,경기도 평택시
하북1리경로당,경로당,경기도 평택시 진위면 하북1길 17-2,,37.110808,127.063593,영업,031-668-8816,1993-01-01,65.4,경기도 평택시청,2026-03-15,3910000,경기도 평택시
은산5리경로당,경로당,경기도 평택시 진위면 은산5길 67,,37.098658,127.118573,영업,031-664-4470,2006-12-28,69.42,경기도 평택시청,2026-03-15,3910000,경기도 평택시
은산3리경로당,경로당,경기도 평택시 진위면 은산3길 32,,37.085302,127.122799,영업,031-611-1881,1998-01-01,76.03,경기도 평택시청,2026-03-15,3910000,경기도 평택시
오룡동경로당,경로당,경기도 평택시 진위면 마산1길 73 (마산1리),,37.084619,127.084093,영업,031-662-1555,2011-01-05,99,경기도 평택시청,2026-03-15,3910000,경기도 평택시
야막리경로당,경로당,경기도 평택시 진위면 야막안길 14-1,,37.122397,127.062561,영업,031-667-2968,2005-01-01,49.59,경기도 평택시청,2026-03-15,3910000,경기도 평택시
신리경로당,경로당,경기도 평택시 진위면 신리길 46,,37.097116,127.068868,영업,,2014-05-12,91,경기도 평택시청,2026-03-15,3910000,경기도 평택시
서원경로당,경로당,"경기도 평택시 진위면 가곡5길 120-18 (가곡6리,서원아파트)",,37.116952,127.073712,영업,031-668-8821,1993-01-01,39.67,경기도 평택시청,2026-03-15,3910000,경기도 평택시
산대경로당,경로당,경기도 평택시 진위면 은산길 51 (은산2리),,37.079892,127.124053,영업,031-667-2329,1992-08-03,36.36,경기도 평택시청,2026-03-15,3910000,경기도 평택시
사후동경로당,경로당,경기도 평택시 진위면 동천길 184 (동천2리),,37.13440577,127.106498,영업,031-666-6776,1993-06-02,56,경기도 평택시청,2026-03-15,3910000,경기도 평택시
봉남2리경로당,경로당,경기도 평택시 진위면 봉남2길 2,,37.099044,127.087384,영업,031-664-0798,2013-03-11,63.99,경기도 평택시청,2026-03-15,3910000,경기도 평택시
봉남1리경로당,경로당,경기도 평택시 진위면 봉남1길 22-5,,37.099388,127.09224,영업,031-663-5180,2006-01-01,68,경기도 평택시청,2026-03-15,3910000,경기도 평택시
말미경로당,경로당,경기도 평택시 진위면 은산4길 35-3 (은산4리),,37.087885,127.115593,영업,031-611-2622,2010-01-01,105.79,경기도 평택시청,2026-03-15,3910000,경기도 평택시
마산4리경로당,경로당,경기도 평택시 진위면 마산길 83 (마산),,37.08619,127.097425,영업,031-662-5394,2000-08-14,32,경기도 평택시청,2026-03-15,3910000,경기도 평택시
마산3리경로당,경로당,경기도 평택시 진위면 마산3길 18,,37.089964,127.095985,영업,,2014-11-21,60.8,경기도 평택시청,2026-03-15,3910000,경기도 평택시
마산2리 경로당,경로당,경기도 평택시 진위면 마산2길 2-5,,37.087113,127.090845,영업,,1999-08-24,52.89,경기도 평택시청,2026-03-15,3910000,경기도 평택시
동천1리경로당,경로당,경기도 평택시 진위면 동천1길 26,,37.114233,127.105745,영업,031-664-5322,1992-01-01,47,경기도 평택시청,2026-03-15,3910000,경기도 평택시
