치매센터명,치매센터유형,소재지도로명주소,소재지지번주소,위도,경도,설립연월,건축물면적,부대시설정보,의사인원수,간호사인원수,사회복지사인원수,기타인원현황,운영기관명,운영기관대표자명,운영기관전화번호,운영위탁일자,주요치매관리프로그램소개,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
장성군치매안심센터,치매안심센터,전라남도 장성군 장성읍 성산5길 17,전라남도 장성군 장성읍 성산리 178-2,35.3233003,126.808367,2020-12,495,사무실(1)+상담실(3)+프로그램실(1)+건강증진실(1) 등,0,10,1,작업치료사(1)+물리치료사(1),장성군보건소,박보서,061-390-7164,,"치매상담 및 등록관리사업, 치매조기검진사업, 치매검사비 자원, 치매예방관리사업, 치매환자쉼터, 배회가능 어르신 인식표 보급 사업, 치매치료관리비 지원, 조호물품 제공, 치매가족 및 보호자 지원사업, 치매인식개선사업, 치매파트너 사업, 치매안심마을 운영",061-390-7164,장성군보건소,2026-02-10,4980000,전라남도 장성군
태백시치매안심센터,치매안심센터,강원특별자치도 태백시 태백로 905,강원특별자치도 태백시 황지동 20-8,37.176676,128.9924305,2018-11,268.47,사무실+검진실+상담실+가족카페+환자쉼터+프로그램운영실등,0,5,3,행정(5),태백시보건소,안상헌,033-550-3042,2017-12-27,"환자쉼터+치매환자 가족 지지모임+치매조기검진(선별, 진단, 감별검사)+치매환자 등록관리+맞춤형사례관리+환자 지원서비스(치료관리비, 조호물품제공)+치매예방교실+이동 조기검진+치매파트너 양성 및 플러스 활동+실종예방지원서비스(인식표, 배회감지기, 지문사진등록사업) 등",033-552-4000,태백시보건소,2026-03-10,4221000,강원특별자치도 태백시
파주시치매안심센터,치매안심센터,경기도 파주시 조리읍 봉천로 68,경기도 파주시 조리읍 봉일천리 188-9,37.74507907,126.8050112,2018-07,356.42,사무실(1)+프로그램실(1)+상담실(2)+진단검사실(2)+가족카페(1),1,15,2,작업치료사(1)+간호조무사(3)+기타(3),파주시보건소,이한상,031-940-3740,,치매인식개선 및 예방+조기검진사업,031-940-3740,경기도 파주시보건소,2026-03-16,4060000,경기도 파주시
남양주풍양보건소 치매안심센터,치매안심센터,경기도 남양주시 진접읍 금강로 1509-26,경기도 남양주시 진접읍 장현리 68-39,37.726331,127.189819,2018-07,541,"검진실(3)+상담실(1)+가족카페(1)+프로그램실(1)+기타(4, 건강지원실, 백세건강실, 누림실, 채움실)",2,8,1,"작업치료사(3), 물리치료사(1)",남양주풍양보건소,이정미,031-590-8381,,치매조기검진+치매환자쉼터+치매가족지원+치매예방관리+치매인식개선,031-590-8381,경기도 남양주시청,2026-03-16,3990000,경기도 남양주시
남양주보건소 치매안심센터,치매안심센터,경기도 남양주시 경춘로 522,경기도 남양주시 다산동 6198,37.610537,127.171235,2024-07,446,상담실(1)+검진실(3)+프로그램실(2)+운동실(1)+가족카페(1)+사무공간 및 안내실(1),1,5,1,작업치료사(3)+임상심리사(1),남양주보건소,정태식,031-590-8700,,치매조기검진+치매환자쉼터+치매가족지원+치매예방관리+치매인식개선,031-590-8700,경기도 남양주시청,2026-03-16,3990000,경기도 남양주시
평택시 송탄치매안심센터,치매안심센터,경기도 평택시 서정로 295(송탄보건소옆),경기도 평택시 서정동 산12,37.065701,127.066497,2019-12,777,교육실(4)+사무실(2)+상담실(3)+로비,0,2,1,팀장(1)+작업치료사(3)+임상심리사(2),경기도 평택시청 송탄보건소,,031-8024-7257,,치매조기검진+치매환자 쉼터+치매예방교실+인지강화교실+치매가족교실+인식개선캠페인 등,031-8024-7257,경기도 평택시청 송탄보건소,2026-03-04,3910000,경기도 평택시
평택시치매안심센터 안중분소,치매안심센터,"경기도 평택시 안중읍 안현로서9길 24, 3층","경기도 평택시 안중읍 현화리 834-10, 3층",36.97815461,126.922304,2021-12,640,사무실+프로그램실+상담실+교육실+가족카페,1,2,0,작업치료사(1)+치과위생사(1),경기도 평택시청 평택보건소 안중보건지소,,031-8024-8677,,치매조기검진사업+치매환자 프로그램+치매예방교육 및 인지재활+가족프로그램 운영 등,031-8024-8677,경기도 평택시청,2026-03-04,3910000,경기도 평택시
평택시치매안심센터,치매안심센터,"경기도 평택시 중앙1로56번길 25, 2층","경기도 평택시 비전동 631, 2층",36.996253,127.089193,2019-12,657,사무실+프로그램실+상담실+교육실+가족카페,3,5,1,센터장(1)+팀장(1)+작업치료사(2)+임상심리사(1),경기도 평택시청 평택보건소,,031-8024-4399,,치매조기검진사업+치매환자 프로그램+치매예방교육 및 인지재활+가족프로그램 운영 등,031-8024-4399,경기도 평택시청,2026-03-04,3910000,경기도 평택시
부산광역시광역치매센터,광역치매센터,부산광역시 서구 대신공원로26,부산광역시 서구 동대신동3가 552,35.12031397,129.017942,2013-12,649.81,야외 정원 세미나실,1,0,6,작업치료사(1)+보건의료정보관리사(1),동아대학교병원,안희배,051-240-2560,2026-01-01,치매예방 챌린지 <기억 쑥쑥 뇌 튼튼 요일표> 프로그램,051-888-3402,부산광역시 건강정책과,2026-03-05,6260000,부산광역시
사천시치매안심센터,치매안심센터,경상남도 사천시 중앙로 212,경상남도 사천시 벌리동 104-1,34.94435219,128.0811474,2019-06,310.77,사무실(1)+회의실(1)+교육실(2),2,8,1,"기타 3, 작업치료사 2, 버스기사 1",사천시보건소,문지연,055-831-5860,,치매조기검진 및 등록사업+맞춤형사례관리+치매치료관리비 지원+조호물품 제공+치매환자 쉼터 및 가족카페 운영+치매예방교실 운영+치매인식개선 사업+치매어르신 실종예방 사업,055-831-2114,경상남도 사천시청,2026-02-12,5340000,경상남도 사천시
